,Date,Month,Personal Consumption Expenditure (billions of usd),Core CPI (index 1982-1984=100),Unemployment (%),Supply (thousand barrels per day),Imports (thousand barrels per day),Production (thousand barrels per day),Price of Barrel (usd),Staggered Price of Barrel
239,1995-06-16,06-1995,4977.5,161.1,5.6,17922,9337,6560,18.91,17.88
240,1995-06-23,06-1995,4977.5,161.1,5.6,18346,6503,6529,17.88,17.71
241,1995-06-30,06-1995,4977.5,161.1,5.6,18202,7948,6545,17.71,17.28
242,1995-07-07,07-1995,4970.2,161.4,5.7,16901,6455,6518,17.28,17.34
243,1995-07-14,07-1995,4970.2,161.4,5.7,17547,7884,6448,17.34,17.21
244,1995-07-21,07-1995,4970.2,161.4,5.7,17774,6733,6417,17.21,17.41
245,1995-07-28,07-1995,4970.2,161.4,5.7,19506,7390,6484,17.41,17.72
246,1995-08-04,08-1995,5005.3,161.8,5.7,17827,7439,6444,17.72,17.81
247,1995-08-11,08-1995,5005.3,161.8,5.7,17384,8483,6476,17.81,17.6
248,1995-08-18,08-1995,5005.3,161.8,5.7,18232,7781,6475,17.6,19.02
249,1995-08-25,08-1995,5005.3,161.8,5.7,17961,7402,6483,19.02,17.88
250,1995-09-01,09-1995,5020.5,162.2,5.6,17603,6522,6507,17.88,18.37
251,1995-09-08,09-1995,5020.5,162.2,5.6,18087,8563,6491,18.37,18.72
252,1995-09-15,09-1995,5020.5,162.2,5.6,17584,8227,6248,18.72,18.32
253,1995-09-22,09-1995,5020.5,162.2,5.6,17547,7195,6414,18.32,17.55
254,1995-09-29,09-1995,5020.5,162.2,5.6,16378,7546,6450,17.55,17.29
255,1995-10-06,10-1995,5013.9,162.7,5.5,17951,6129,6215,17.29,17.28
256,1995-10-13,10-1995,5013.9,162.7,5.5,17704,7416,6404,17.28,17.51
257,1995-10-20,10-1995,5013.9,162.7,5.5,17962,7568,6497,17.51,17.56
258,1995-10-27,10-1995,5013.9,162.7,5.5,18169,6986,6512,17.56,17.79
259,1995-11-03,11-1995,5055.6,163.0,5.6,17461,6530,6539,17.79,17.76
260,1995-11-10,11-1995,5055.6,163.0,5.6,18344,7695,6516,17.76,18.06
261,1995-11-17,11-1995,5055.6,163.0,5.6,18258,8060,6493,18.06,17.99
262,1995-11-24,11-1995,5055.6,163.0,5.6,17321,7560,6484,17.99,18.32
263,1995-12-01,12-1995,5097.5,163.1,5.6,17841,7182,6450,18.32,18.74
264,1995-12-08,12-1995,5097.5,163.1,5.6,18978,8066,6428,18.74,19.02
265,1995-12-15,12-1995,5097.5,163.1,5.6,18355,6990,6411,19.02,19.12
266,1995-12-22,12-1995,5097.5,163.1,5.6,19138,6192,6467,19.12,19.44
267,1995-12-29,12-1995,5097.5,163.1,5.6,17302,6963,6474,19.44,19.99
268,1996-01-05,01-1996,5085.7,163.7,5.6,18459,6926,6464,19.99,19.43
269,1996-01-12,01-1996,5085.7,163.7,5.6,18285,7504,6498,19.43,18.64
270,1996-01-19,01-1996,5085.7,163.7,5.6,17898,7240,6516,18.64,18.35
271,1996-01-26,01-1996,5085.7,163.7,5.6,18294,6937,6405,18.35,17.64
272,1996-02-02,02-1996,5132.8,164.0,5.5,18152,7002,6413,17.64,17.72
273,1996-02-09,02-1996,5132.8,164.0,5.5,19548,6427,6505,17.72,18.8
